name,value,type
Australian Dollar,25276.573,fiat
Bangladeshi Taka,1776842.033,fiat
Bahraini Dinar,6467.217,fiat
Bermudian Dollar,17180.49,fiat
Brazil Real,89991.41,fiat
Canadian Dollar,23584.518,fiat
Swiss Franc,16065.494,fiat
Chilean Peso,14807521.337,fiat
Chinese Yuan,119536.7,fiat
Czech Koruna,395874.585,fiat
Danish Krone,121328.625,fiat
Euro,16297.963,fiat
British Pound Sterling,14016.308,fiat
Hong Kong Dollar,133768.159,fiat
Hungarian Forint,6827870.619,fiat
Indonesian Rupiah,268067196.618,fiat
Israeli New Shekel,58740.956,fiat
Indian Rupee,1416379.412,fiat
Japanese Yen,2346425.309,fiat
South Korean Won,22407998.624,fiat
Kuwaiti Dinar,5270.648,fiat
Sri Lankan Rupee,6318237.099,fiat
Burmese Kyat,36104204.695,fiat
Mexican Peso,339778.564,fiat
Malaysian Ringgit,75654.29,fiat
Nigerian Naira,7624803.332,fiat
Norwegian Krone,171897.681,fiat
New Zealand Dollar,26790.106,fiat
Philippine Peso,951369.656,fiat
Pakistani Rupee,3863147.226,fiat
Polish Zloty,76496.993,fiat
Russian Ruble,1074038.411,fiat
Saudi Riyal,64600.414,fiat
Swedish Krona,177820.655,fiat
Singapore Dollar,23296.745,fiat
Thai Baht,594870.316,fiat
Turkish Lira,320435.05,fiat
New Taiwan Dollar,527590.535,fiat
Ukrainian hryvnia,631736.762,fiat
Venezuelan bolívar fuerte,1720.282,fiat
Vietnamese đồng,408895679.004,fiat
South African Rand,298156.936,fiat
IMF Special Drawing Rights,12971.906,fiat
Silver - Troy Ounce,731.708,commodity
Gold - Troy Ounce,9.559,commodity
Bits,1000000,crypto
Satoshi,100000000,crypto
Bitcoin,1,crypto
Ether,13.487,crypto
Litecoin,224.448,crypto
Bitcoin Cash,156.869,crypto
Binance Coin,59.521,crypto
EOS,16590.839,crypto
XRP,44190.952,crypto
Lumens,200746.095,crypto
Chainlink,2496.242,crypto
Polkadot,3240.332,crypto
Yearn.finance,2.489,crypto
US Dollar,17180.441,fiat
United Arab Emirates Dirham,63103.76,fiat
Argentine Peso,2919443.421,fiat
Australian Dollar,25276.5,fiat
Bangladeshi Taka,1776836.91,fiat
Bahraini Dinar,6467.199,fiat
Bermudian Dollar,17180.441,fiat
Brazil Real,89991.15,fiat
Canadian Dollar,23584.45,fiat
Swiss Franc,16065.447,fiat
Chilean Peso,14807478.647,fiat
Chinese Yuan,119536.355,fiat
Czech Koruna,395873.443,fiat
Danish Krone,121328.275,fiat
Euro,16297.916,fiat
British Pound Sterling,14016.267,fiat
Hong Kong Dollar,133767.774,fiat
Hungarian Forint,6827850.935,fiat
Indonesian Rupiah,268066423.784,fiat
Israeli New Shekel,58740.787,fiat
Indian Rupee,1416375.328,fiat
Japanese Yen,2346418.545,fiat
South Korean Won,22407934.022,fiat
Kuwaiti Dinar,5270.632,fiat
Sri Lankan Rupee,6318218.883,fiat
Burmese Kyat,36104100.607,fiat
Mexican Peso,339777.585,fiat
Malaysian Ringgit,75654.072,fiat
Nigerian Naira,7624781.35,fiat
Norwegian Krone,171897.186,fiat
New Zealand Dollar,26790.028,fiat
Philippine Peso,951366.913,fiat
Pakistani Rupee,3863136.089,fiat
Polish Zloty,76496.773,fiat
Russian Ruble,1074035.314,fiat
Saudi Riyal,64600.228,fiat
Swedish Krona,177820.143,fiat
Singapore Dollar,23296.678,fiat
Thai Baht,594868.601,fiat
Turkish Lira,320434.126,fiat
New Taiwan Dollar,527589.014,fiat
Ukrainian hryvnia,631734.941,fiat
Venezuelan bolívar fuerte,1720.277,fiat
Vietnamese đồng,408894500.165,fiat
South African Rand,298156.076,fiat
IMF Special Drawing Rights,12971.868,fiat
Silver - Troy Ounce,731.706,commodity
Gold - Troy Ounce,9.559,commodity
Bits,1000000,crypto
Satoshi,100000000,crypto
Bitcoin,1,crypto
Ether,13.488,crypto
Litecoin,224.346,crypto
Bitcoin Cash,156.875,crypto
Binance Coin,59.522,crypto
EOS,16589.268,crypto
XRP,44190.874,crypto
Lumens,200777.363,crypto
Chainlink,2495.929,crypto
Polkadot,3240.904,crypto
Yearn.finance,2.491,crypto
US Dollar,17180.641,fiat
United Arab Emirates Dirham,63104.496,fiat
Argentine Peso,2919477.479,fiat
Australian Dollar,25276.795,fiat
Bangladeshi Taka,1776857.639,fiat
Bahraini Dinar,6467.274,fiat
Bermudian Dollar,17180.641,fiat
Brazil Real,89992.2,fiat
Canadian Dollar,23584.725,fiat
Swiss Franc,16065.635,fiat
Chilean Peso,14807651.39,fiat
Chinese Yuan,119537.75,fiat
Czech Koruna,395878.062,fiat
Danish Krone,121329.691,fiat
Euro,16298.106,fiat
British Pound Sterling,14016.431,fiat
Hong Kong Dollar,133769.334,fiat
Hungarian Forint,6827930.588,fiat
Indonesian Rupiah,268069551.028,fiat
Israeli New Shekel,58741.472,fiat
Indian Rupee,1416391.851,fiat
Japanese Yen,2346445.918,fiat
South Korean Won,22408195.431,fiat
Kuwaiti Dinar,5270.694,fiat
Sri Lankan Rupee,6318292.591,fiat
Burmese Kyat,36104521.795,fiat
Mexican Peso,339781.549,fiat
Malaysian Ringgit,75654.955,fiat
Nigerian Naira,7624870.3,fiat
Norwegian Krone,171899.191,fiat
New Zealand Dollar,26790.341,fiat
Philippine Peso,951378.011,fiat
Pakistani Rupee,3863181.156,fiat
Polish Zloty,76497.665,fiat
Russian Ruble,1074047.844,fiat
Saudi Riyal,64600.982,fiat
Swedish Krona,177822.217,fiat
Singapore Dollar,23296.95,fiat
Thai Baht,594875.54,fiat
Turkish Lira,320437.864,fiat
New Taiwan Dollar,527595.168,fiat
Ukrainian hryvnia,631742.311,fiat
Venezuelan bolívar fuerte,1720.297,fiat
Vietnamese đồng,408899270.298,fiat
South African Rand,298159.554,fiat
IMF Special Drawing Rights,12972.02,fiat
Silver - Troy Ounce,731.714,commodity
Gold - Troy Ounce,9.559,commodity
Bits,1000000,crypto
Satoshi,100000000,crypto
Bitcoin,1,crypto
